text,label_raw,stars,char_length,word_length
"I love that Bike Shop is a locally-owned place that really cares about the local biking community. They have a full calendar of group rides, and they host special events like ladies night where they have vendors in with specials and they go over simple maintenance, etc. \nI have gotten excellent advice from them, even when it didn't result in a sale.\nThe service is reasonably priced and the staff is very knowledgeable, but they do have a tendency to get backed up. I recently had to wait an entire week just to get a wheel trued, a process that probably took them about 20 minutes.\nThe shop has a decent selection of apparel and accessories, but they are extremely overpriced. I might go there to look at something, but then I would turn around and buy it on amazon or bikenashbar. Same is true with their bikes - all very expensive.",3,4,839,150
I love korean BBQ and I love Sura's style concept.  The restaurant is buffet style. You pick the meats and dishes that you wish to have and bring it back to your table to grill. A server will bring you drinks and clean your grill ever so often. \n\nThe food isn't bad but it isn't great. You might find some pieces of meet that are still frozen if you pick from the middle of the tray. \n\nI went to the restroom while eating here and witnessed an employee leaving the stalls without washing their hands only to later see her behind the buffet line serving meat.  True story. \n\nI was so disgusted I wanted to return back to the stall and puke. \n\nSince Sura's AYCE menu is around the same price of the others in town...I'd go elsewhere especially after using their restrooms.,1,2,778,143
"Not the first Texas Roadhouse I have been to (been to the Las Ceruces, NM and the west-side El Paso, TX location).  They all have good quality food that makes for a good dinner.  What made this one stand out?\n\nThe music was at a volume where we could actually have a conversation at the table.  I wish they would do this at all locations!  Usually, you can't hear yourself think in a Texas Roadhouse, at least from my other experiences.",3,4,438,80
"We were thrilled to finally get a Cafe Rio in our area.  However, after several visits we are ready to say goodbye to our new location and travel back to the Stephanie or Eastern locations.  The service here is horrible, the restaurant is freezing cold and the food is less than mediocre.  The servers are rude and when I ask for extra pico, I am treated like I am asking for something impossible!  \n\nIt is time for management to step-up and take control and make some much needed changes!!!",0,1,493,89
"If you have been to Disney or even Chi-fil-a this place will disappoint you with their horrible customer service. Perhaps when 80% of your staff are 18 yrs and younger you need to instill respect, courtesy and the customer is always right b/c they just dropped a freakin mini fortune on this crappy amusement park that post hours of operations for stores and restaurants as suggested times. And you only get 1 star because I couldn't leave it blank",0,1,448,79
"Oh the smell of Olive Garden.  Isn't that the most recognizable smell? I swear I think they pipe it into the vents.\n\nWhen I worked at PV mall I felt positively fancy to eat salad and bread sticks for lunch here.  And at $3.95 it was quite the bargain when it wasn't an official lunch menu item.  Now they've made it $5.95 for soup and salad w/ breadsticks which still isn't a bad deal.  But now of course it doesn't taste quite as good as when I thought it was healthy.\n\nAs for the other food, I was turned off when I had 2 different friends work there who specifically told me not to go there.  Well, not that it was bad or I'd get sick, but that it was to Italian food what Taco Bell was to Mexican food.  When they said that if I could microwave, I could cook at Olive Garden, I decided to trust them.  I'll admit I've been a few times with them when I'm with other folks who really really wanted to go.  The last time I went was maybe 9 months ago and what really struck me were the prices.  I can get fresh ingredients and real cooking for that price - and generally better service.  \n\nThe best thing I can say about this place is how many jobs it's given my friends over the years because they have such an amazing turn over they will hire just about anyone.  This is a great place to get a job to get server experience.  And once you've learned the art of hospitaliano, you can go get a better job.  Just like everyone else.  But it will still take at least 3 months for the smell of Olive Garden to get out of your clothes and your car.",1,2,1550,301
"I really enjoyed it. They did put ALOT of work into this place with even more crazy people to work the house. Somethings that really bugged me were the large groups we had to be in (4 to group would be a great/ isolation is key) and the unprofessional staff. We had two guys infront of us who were clearly intoxicated and ruined the entire event for us due to everytime someone approach them they were childish and mocked them back.  We told the staff inside the situation and if we could wait just to separate from them a bit but no help was offered and just told to  \""keep moving\"".  Once out side, we were told them same. \n\nGet the VIP tickets. The line outside with out them was crazier then ever.",1,2,704,133
"People working there are so rude. They chatting with coworker while I am waiting to check out. They told me to wait. And the cashiers so rude, no smile, anger faces. Make me feel uncomrtable.",0,1,191,35
"casual vegas dinner away in chinatown...upstairs plaza second floor...yakitori in izakaya fashion...beers, sake and shochu...japanese small plates dining...a pitcher of beer while browsing...standard skewers...beef tongue chewy, but not tough...hamachi kama juicy and meaty...large rolls fat for sharing...average in presentation, quality and taste...another pitcher of beer washing...wings, bacon wrapped mochi, agadashi tofu and additional skewers...standard izakaya selection...nothing memorable in presentation or taste, but cheap!...finish and back to the strip!",2,3,567,68
"I was a fan, but would not go back.... to many other places to try",3,4,66,15
